Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Nassau Brewery,Kings,10/22/2014,14NR06550,-73.9563076,40.67726861,POINT (-73.9563076 40.67726861)
Crowther House,Suffolk,3/21/1985,90NR01942,-72.63353638,40.80478175,POINT (-72.63353638 40.80478175)
Forest Hill Cemetery,Oneida,11/9/2017,16NR00118,-75.25113086,43.07753735,POINT (-75.25113086 43.07753735)
Public Square Historic District,Jefferson,9/7/1984,90NR01155,-75.90940664,43.97449412,POINT (-75.90940664 43.97449412)
United States Post Office-Wappingers Falls,Dutchess,5/11/1989,90NR00442,-73.91725909,41.59696714,POINT (-73.91725909 41.59696714)
"Cowles, W.T., House",Warren,9/29/1984,90NR02703,-73.6448781,43.3175259,POINT (-73.6448781 43.3175259)
Eustatia,Dutchess,2/26/1979,90NR00435,-73.98318828,41.51344335,POINT (-73.98318828 41.51344335)
Julius' Bar,New York,4/20/2016,16NR00015,-74.00162384,40.73455503,POINT (-74.00162384 40.73455503)
Coolidge Stores Building,Madison,1/26/2001,01NR01735,-75.55146156,42.88907261,POINT (-75.55146156 42.88907261)
Sodus Point Lighthouse,Wayne,10/8/1976,90NR02289,-76.98612704,43.27393946,POINT (-76.98612704 43.27393946)
"Sidewalk Clock at 161-11 Jamaica Avenue, New York",Queens,4/18/1985,90NR01570,-73.79790126,40.70409627,POINT (-73.79790126 40.70409627)
Public School 15,Bronx,12/10/1981,90NR00070,-73.8306181,40.89094424,POINT (-73.8306181 40.89094424)
Red Hill Fire Observation Station,Ulster,9/23/2001,00NR01670,-74.51730527,41.92377381,POINT (-74.51730527 41.92377381)
Hudson Almshouse,Columbia,9/19/2008,08NR05886,-73.78684023,42.25257358,POINT (-73.78684023 42.25257358)
"Blauvelt, Johannes Isaac, House",Rockland,,08NR05926,-73.96388055,41.07698546,POINT (-73.96388055 41.07698546)
Manhanset Chapel,Suffolk,8/29/1997,95NR00862,-72.33575393,41.06821432,POINT (-72.33575393 41.06821432)
Stuyvesant Falls Mill District,Columbia,9/15/1976,90NR00245,-73.73416863,42.35602482,POINT (-73.73416863 42.35602482)
